Epoch:80,Loss:0.21500140097406176,Accuracy:0.9236363636363636,
Epoch:81,Loss:0.24068625933594173,Accuracy:0.9218181818181819,
Epoch:82,Loss:0.2483163724342982,Accuracy:0.92,
Epoch:83,Loss:0.2441091669930352,Accuracy:0.92,
Epoch:84,Loss:0.22667140596442753,Accuracy:0.9054545454545454,
Epoch:85,Loss:0.2117899606625239,Accuracy:0.9363636363636364,
Epoch:86,Loss:0.21436848077509138,Accuracy:0.9109090909090909,
Epoch:87,Loss:0.17621882673766878,Accuracy:0.9454545454545454,
Epoch:88,Loss:0.17023796174261305,Accuracy:0.9490909090909091,
Epoch:89,Loss:0.19096162791053453,Accuracy:0.9272727272727272,
Epoch:90,Loss:0.19249313241905636,Accuracy:0.9418181818181818,
